name,teams,position,start_year,stop_year,total_game,games_started
Isaako Aaitui,MIA|WAS,,2013,2014,4,0
Joe Abbey,CHI|NYY,e,1948,1949,18,1
Fay Abbott,DAY,TB,1921,1929,57,43
Vince Abbott,SDG,K,1987,1988,23,0
Jared Abbrederis,GNB|DET,,2014,2017,21,0
Duke Abbruzzi,BOS,,1946,1946,3,0
Mehdi Abdesmad,TEN,,2016,2016,2,0
Karim Abdul-Jabbar,MIA|2TM|IND,RB,1996,2000,61,52
Isa Abdul-Quddus,NOR|DET|MIA,S,2011,2016,89,31
Ameer Abdullah,DET,RB,2015,2017,32,22
Hamza Abdullah,DEN|2TM|ARI,fs/ss,2005,2011,48,8
Husain Abdullah,MIN|KAN,fs,2008,2015,97,46
Khalid Abdullah,CIN,,2003,2003,16,0
Rabih Abdullah,TAM|CHI|NWE,rb,1999,2004,83,1
Rahim Abdullah,CLE,LB/lilb,1999,2000,29,17
Fred Abel,MIL,,1926,1926,3,1
Bud Abell,KAN,,1966,1968,40,0
Walter Abercrombie,PIT|PHI,RB,1982,1988,84,64
Cliff Aberson,GNB,tb,1946,1946,10,1
Victor Abiamiri,PHI,de,2007,2009,29,6
Oday Aboushi,NYJ|HOU|SEA,RG,2014,2017,34,26
Clifton Abraham,TAM|CHI|CAR,,1995,1997,9,0
Donnie Abraham,TAM|NYJ,cb/LCB/rcb,1996,2004,132,112
John Abraham,NYJ|ATL|ARI,lb,2000,2014,192,175
Robert Abraham,HOU,RILB,1982,1987,73,60
Danny Abramowicz,NOR|2TM|SFO,WR,1967,1974,111,106
Sid Abramowitz,BAL|SEA|NYJ|IND,t,1983,1987,22,4
Bobby Abrams,NYG|3TM|2TM|MIN|NWE,lb,1990,1995,74,3
Kevin Abrams,DET,rcb,1997,1999,32,11
Nate Abrams,GNB,,1921,1921,1,0
George Abramson,GNB,lg,1925,1925,10,5
Dick Abrell,DAY,,1920,1920,6,0
Ray Abruzzese,BUF|NYJ,LS,1962,1966,61,2
Frank Abruzzino,BKN|CIN,BB,1931,1933,23,11
