Barwegen,Dick,1950|1951|1952|1953,LG,CHI|BAL
 Connor,George,1950|1951|1952|1953,LDT/LT|LT|LLB/LT,CHI
 Lujack,Johnny,1950|1951,QB,CHI
 Motley,Marion,1950,FB,CLE
 Weinmeister,Arnie,1950|1951|1952|1953,LDT,NYG
 Geri,Joe,1950|1951,TB,PIT
 Fears,Tom,1950,LE,RAM
 Speedie,Mac,1950|1952,LE,CLE
 Walker,Doak,1950|1951|1953|1954|1955,LH,DET
 Willis,Bill,1950|1951|1952,MG,CLE
 Huffman,Dick,1950,LDT/LT,RAM
 Bray,Ray,1950|1951,MG/RG|RDT,CHI
 Grimes,Billy,1950|1951,RH,GNB
 Bednarik,Chuck,1950|1951|1952|1953|1954|1956|1957|1960,MLB|LLB|C,PHI
 Sprinkle,Ed,1950|1951|1952|1954,RDE/RE|RDE,CHI
 Doll,Don,1950|1951|1952|1953,LDH|LS,DET|WAS
 Poole,Ray,1950,RDE/RE,NYG
 Schnellbacher,Otto,1950|1951,RS,NYG
 Edwards,Dan,1950,RE,NYY
 Sanders,Spec,1950,S,NYY
 Shaw,Bob,1950,RE,CRD
 Pihos,Pete,1950|1951|1952|1953|1954|1955,RDE/RE|RDE|RE,PHI
 Hoerner,Dick,1950,FB,RAM
 Adamle,Tony,1950|1951,RLB|LLB,CLE
 Graham,Otto,1950|1951|1952|1953|1954,QB,CLE
 Harder,Pat,1950|1952,FB,CRD|DET
 Box,Cloyce,1950|1952,LE,DET
 Neal,Ed,1950,C,GNB
 Tunnell,Emlen,1950|1951|1952|1953|1954|1955|1956|1957|1959,LDH|LS,NYG|GNB
 Wistert,Al,1950,RDT/RT,PHI
 Waterfield,Bob,1950|1951,QB,RAM
 Strzykalski,Johnny,1950,RH,SFO
 Dudley,Bill,1950|1951,RH/S|LH,WAS
 Davis,Fred,1950,,CHI
 Turner,Bulldog,1950|1951,C,CHI
 Groza,Lou,1950|1951|1952|1953|1954|1955|1957|1958|1959,LT,CLE
 Humble,Weldon,1950,LG,CLE
 Angsman,Elmer,1950,RH,CRD
 Dove,Bob,1950,LDE,CRD
 Fischer,Bill,1950|1951|1952,LDT/LT|LT|RG,CRD
 Hardy,Jim,1950,QB,CRD
 Creekmur,Lou,1950|1951|1952|1953|1954|1955|1956|1957,LG|LT,DET
 McGraw,Thurman,1950,LDT,DET
 Cannady,John,1950|1952,LLB|RLB,NYG
 Conerly,Charlie,1950|1956,QB,NYG
 DeRogatis,Al,1950|1951,RDT,NYG
 Roberts,Gene,1950,LH,NYG
 Ecklund,Brad,1950|1951,C,NYY
 Toth,Zollie,1950,FB,NYY
 Barnes,Walt,1950,LLB,PHI
 Green,John,1950,LDE,PHI
 Shipkey,Jerry,1950|1951|1952,FB/LLB|RLB|LLB,PIT
 Walsh,Bill,1950|1951,C,PIT
 Brink,Larry,1950|1951,LDE,RAM
 Davis,Glenn,1950,LH,RAM
 Lewis,Woodley,1950,RDH,RAM
 Van Brocklin,Norm,1950|1951|1952|1953|1954|1955|1958|1959|1960,QB|P/QB,RAM|PHI
 Albert,Frankie,1950,QB,SFO
 Grgich,Visco,1950,MG,SFO
 Nomellini,Leo,1950|1951|1952|1953|1956|1957|1958|1959|1960|1961,RDT|RDT/RT|RT|LDT,SFO
 Standlee,Norm,1950,RLB,SFO
 Gilmer,Harry,1950|1952,QB|LH,WAS
 Lipscomb,Paul,1950|1951|1952|1953,RDT|RDT/RT,WAS
 Ford,Len,1951|1952|1953|1954,RDE,CLE
 Jones,Dub,1951|1952,RH,CLE
 Hirsch,Elroy,1951|1952|1953,RE|LE,RAM
 Hart,Leon,1951,RE,DET
 Lavelli,Dante,1951|1953|1954,RE,CLE
 Coulter,Tex,1951|1952,LT,NYG
 Towler,Dan,1951|1952|1953|1954,FB,RAM
 Bingaman,Les,1951|1953,MG,DET
 Price,Eddie,1951|1952|1954,FB,NYG
 West,Stan,1951|1952,MG,RAM
 Baker,Jon,1951|1952,MG,NYG
